Tiempo;Pos.x;Pos.y;Vel.x;Vel.y;Energia
4,720;42,941;-6,802;6,359;-22,945;167,787
4,730;43,004;-7,031;6,354;-23,024;167,310
4,740;43,068;-7,262;6,349;-23,102;166,832
4,750;43,131;-7,493;6,343;-23,181;166,352
4,760;43,195;-7,726;6,338;-23,260;165,871
4,770;43,258;-7,959;6,333;-23,339;165,388
4,780;43,321;-8,192;6,327;-23,417;164,903
4,790;43,385;-8,427;6,322;-23,496;164,417
4,800;43,448;-8,662;6,317;-23,575;163,930
4,810;43,511;-8,898;6,312;-23,653;163,441
4,820;43,574;-9,135;6,307;-23,732;162,951
4,830;43,637;-9,373;6,302;-23,811;162,459
4,840;43,700;-9,612;6,296;-23,889;161,966
4,850;43,763;-9,851;6,291;-23,968;161,471
4,860;43,826;-10,091;6,286;-24,047;160,974
4,870;43,889;-10,332;6,281;-24,125;160,477
4,880;43,952;-10,573;6,276;-24,204;159,977
4,890;44,014;-10,816;6,271;-24,283;159,476
4,900;44,077;-11,059;6,266;-24,361;158,974
4,910;44,140;-11,303;6,261;-24,440;158,470
4,920;44,202;-11,548;6,256;-24,519;157,965
4,930;44,265;-11,794;6,251;-24,597;157,458
4,940;44,327;-12,040;6,246;-24,676;156,950
4,950;44,390;-12,287;6,241;-24,754;156,440
4,960;44,452;-12,535;6,237;-24,833;155,928
4,970;44,514;-12,784;6,232;-24,912;155,416
4,980;44,577;-13,033;6,227;-24,990;154,901
4,990;44,639;-13,283;6,222;-25,069;154,386
5,000;44,701;-13,535;6,217;-25,148;153,868
5,010;44,763;-13,786;6,212;-25,226;153,349
5,020;44,825;-14,039;6,208;-25,305;152,829
5,030;44,888;-14,293;6,203;-25,383;152,307
5,040;44,950;-14,547;6,198;-25,462;151,784
5,050;45,011;-14,802;6,193;-25,540;151,259
5,060;45,073;-15,058;6,189;-25,619;150,733
5,070;45,135;-15,314;6,184;-25,698;150,205
5,080;45,197;-15,572;6,179;-25,776;149,675
5,090;45,259;-15,830;6,175;-25,855;149,144
5,100;45,321;-16,089;6,170;-25,933;148,612
5,110;45,382;-16,348;6,165;-26,012;148,078
5,120;45,444;-16,609;6,161;-26,090;147,543
5,130;45,505;-16,870;6,156;-26,169;147,006
5,140;45,567;-17,132;6,152;-26,247;146,467
5,150;45,628;-17,395;6,147;-26,326;145,927
5,160;45,690;-17,659;6,142;-26,405;145,386
5,170;45,751;-17,923;6,138;-26,483;144,843
5,180;45,813;-18,188;6,133;-26,562;144,299
5,190;45,874;-18,454;6,129;-26,640;143,752
5,200;45,935;-18,721;6,124;-26,719;143,205
5,210;45,997;-18,989;6,120;-26,797;142,656
5,220;46,058;-19,257;6,115;-26,876;142,106
5,230;46,119;-19,526;6,111;-26,954;141,553
5,240;46,180;-19,796;6,107;-27,033;141,000
5,250;46,241;-20,067;6,102;-27,111;140,445
5,260;46,302;-20,338;6,098;-27,190;139,888
5,270;46,363;-20,611;6,093;-27,268;139,330
5,280;46,424;-20,884;6,089;-27,347;138,771
5,290;46,485;-21,158;6,085;-27,425;138,210
5,300;46,546;-21,432;6,080;-27,504;137,647
5,310;46,606;-21,708;6,076;-27,582;137,083
5,320;46,667;-21,984;6,072;-27,661;136,517
5,330;46,728;-22,261;6,068;-27,739;135,950
5,340;46,788;-22,539;6,063;-27,818;135,382
5,350;46,849;-22,817;6,059;-27,896;134,812
5,360;46,910;-23,097;6,055;-27,974;134,240
5,370;46,970;-23,377;6,050;-28,053;133,667
5,380;47,031;-23,658;6,046;-28,131;133,092
5,390;47,091;-23,939;6,042;-28,210;132,516
5,400;47,151;-24,222;6,038;-28,288;131,938
5,410;47,212;-24,505;6,034;-28,367;131,359
5,420;47,272;-24,789;6,030;-28,445;130,778
5,430;47,332;-25,074;6,025;-28,524;130,196
5,440;47,393;-25,360;6,021;-28,602;129,612
5,450;47,453;-25,646;6,017;-28,681;129,026
5,460;47,513;-25,933;6,013;-28,759;128,440
5,470;47,573;-26,221;6,009;-28,837;127,851
5,480;47,633;-26,510;6,005;-28,916;127,261
5,490;47,693;-26,800;6,001;-28,994;126,670
5,500;47,753;-27,090;5,997;-29,073;126,077
5,510;47,813;-27,381;5,993;-29,151;125,482
5,520;47,873;-27,673;5,989;-29,230;124,886
5,530;47,933;-27,966;5,985;-29,308;124,289
5,540;47,993;-28,259;5,981;-29,386;123,690
5,550;48,052;-28,553;5,977;-29,465;123,089
5,560;48,112;-28,848;5,973;-29,543;122,487
